Item,Weight,Value
1,11,21
2,10,36
3,23,28
4,15,42
5,21,37
6,16,35
7,26,39
8,37,10
9,28,41
10,6,23
11,20,6
12,42,34
13,31,32
14,19,16
15,9,17
16,19,12
17,2,8
18,17,33
19,9,16
20,11,39
21,33,31
22,28,33
23,23,6
24,22,8
25,44,26
26,35,36
27,41,17
28,12,31
29,42,20
30,17,30
31,19,10
32,28,19
33,32,37
34,26,43
35,44,29
36,36,14
37,13,13
38,18,25
39,21,12
40,29,20
41,30,37
42,10,24
43,2,19
44,4,14
45,23,24
46,11,5
47,4,29
48,25,30
49,26,26
50,27,30
51,6,24
52,3,11
53,32,3
54,5,15
55,26,42
56,21,15
57,26,34
58,19,38
59,9,23
60,12,17
61,37,5
62,39,38
63,37,13
64,2,2
65,40,23
66,42,8
67,33,4
68,40,11
69,33,45
70,16,38
71,24,8
72,27,38
73,36,4
74,1,26
75,23,12
76,16,22
77,15,17
78,6,12
79,3,10
80,17,35
81,27,12
82,9,17
83,35,4
84,36,28
85,15,26
86,39,24
87,31,17
88,39,1
89,38,3
90,35,29
91,31,37
92,17,38
93,24,17
94,15,14
95,20,30
96,42,21
97,44,42
98,22,22
99,18,12
100,14,38
101,44,9
102,29,16
103,2,43
104,35,39
105,25,24
106,37,10
107,41,36
108,39,39
109,5,7
110,30,21
111,17,11
112,27,40
113,24,37
114,26,25
115,42,30
116,3,27
117,30,36
118,32,38
119,45,6
120,22,35
121,10,2
122,14,43
123,10,22
124,41,25
125,20,22
126,39,10
127,28,1
128,14,37
129,29,5
130,30,28
131,31,23
132,32,3
133,44,33
134,39,21
135,1,8
136,16,6
137,3,37
138,26,5
139,25,27
140,3,45
141,30,4
142,38,5
143,11,42
144,5,3
145,4,35
146,20,17
147,12,32
148,32,5
149,28,9
150,26,26
151,39,16
152,24,10
153,24,29
154,31,6
155,25,29
156,7,16
157,18,20
158,5,17
159,42,40
160,24,35
161,22,37
162,33,13
163,9,19
164,25,7
165,3,8
166,3,16
167,24,24
168,3,25
169,10,19
170,35,24
171,4,36
172,8,7
173,43,43
174,21,43
175,33,11
176,16,23
177,24,40
178,32,10
179,29,3
180,7,33
181,24,11
182,6,41
183,8,31
184,44,38
185,3,25
186,25,45
187,15,28
188,31,38
189,19,39
190,33,28
191,24,23
192,3,15
193,9,6
194,5,30
195,44,25
196,25,37
197,27,20
198,37,32
199,30,37
200,39,12
201,44,18
202,14,25
203,25,24
204,10,18
205,32,35
206,19,19
207,18,28
208,24,34
209,19,12
210,45,32
211,38,1
212,36,7
213,35,34
214,43,18
215,38,9
216,13,5
217,43,17
218,26,21
219,19,33
220,11,28
221,37,17
222,16,33
223,33,32
224,41,38
225,41,20
226,2,23
227,11,12
228,13,3
229,3,44
230,15,8
231,6,36
232,6,21
233,4,27
234,13,3
235,34,43
236,32,20
237,19,39
238,10,39
239,34,33
240,32,32
241,36,37
242,27,3
243,32,19
244,39,37
245,16,22
246,18,18
247,21,11
248,4,29
249,5,39
250,1,8
251,26,13
252,24,39
253,7,26
254,8,14
255,44,17
256,4,15
257,39,1
258,31,22
259,37,11
260,39,14
261,17,45
262,33,44
263,2,29
264,40,3
265,37,26
266,12,23
267,15,26
268,35,19
269,43,17
270,44,11
271,36,38
272,25,22
273,4,43
274,11,18
275,13,30
276,8,20
277,31,32
278,18,44
279,14,32
280,42,22
281,2,39
282,1,37
283,13,13
284,14,22
285,7,30
286,37,10
287,15,19
288,41,20
289,10,14
290,18,10
291,9,15
292,32,29
293,34,16
294,3,17
295,34,7
296,29,43
297,45,20
298,2,9
299,35,39
300,28,23
301,5,14
302,20,42
303,40,30
304,34,14
305,21,6
306,38,42
307,22,35
308,35,20
309,33,5
310,17,24
311,12,16
312,36,1
313,27,41
314,25,21
315,17,23
316,26,32
317,33,41
318,24,30
319,40,26
320,30,2
321,38,31
322,45,29
323,14,43
324,20,5
325,20,41
326,19,7
327,20,40
328,20,15
329,16,45
330,34,31
331,24,35
332,8,3
333,5,22
334,24,19
335,32,16
336,28,18
337,39,2
338,13,23
339,21,13
340,45,5
341,15,33
342,19,33
343,41,13
344,38,4
345,3,6
346,1,1
347,25,16
348,31,2
349,40,30
350,18,15
351,29,32
352,31,11
353,10,35
354,2,8
355,4,21
356,8,11
357,5,14
358,24,45
359,32,8
360,11,4
361,45,41
362,14,10
363,8,9
364,34,37
365,33,37
366,16,24
367,11,18
368,6,41
369,16,33
370,10,14
371,33,36
372,17,2
373,24,6
374,2,22
375,26,1
376,4,30
377,15,4
378,17,11
379,8,41
380,5,45
381,10,5
382,31,1
383,4,29
384,1,44
385,15,13
386,26,22
387,12,36
388,16,31
389,3,3
390,3,31
391,18,21
392,14,6
393,43,32
394,24,31
395,18,34
396,19,19
397,19,10
398,3,27
399,18,29
400,5,38
401,45,13
402,11,16
403,12,17
404,1,43
405,1,33
406,19,7
407,31,36
408,26,1
409,10,8
410,40,18
411,22,7
412,35,21
413,5,37
414,23,41
415,5,18
416,34,6
417,21,7
418,25,40
419,17,2
420,9,37
421,41,15
422,1,32
423,20,19
424,30,12
425,39,18
426,1,6
427,30,13
428,45,9
429,16,30
430,8,2
431,11,27
432,10,15
433,30,4
434,7,23
435,43,40
436,31,27
437,15,28
438,13,43
439,18,25
440,15,12
441,10,37
442,2,7
443,31,25
444,34,32
445,33,44
446,35,9
447,13,38
448,24,14
449,8,42
450,4,28
451,7,37
452,44,29
453,3,45
454,10,29
455,9,30
456,20,32
457,11,39
458,18,35
459,7,11
460,21,18
461,31,28
462,36,28
463,30,36
464,33,14
465,27,30
466,5,39
467,30,42
468,44,7
469,4,21
470,2,17
471,30,45
472,4,12
473,41,12
474,36,42
475,11,36
476,40,27
477,25,9
478,4,24
479,6,21
480,21,23
481,9,39
482,20,33
483,45,40
484,31,21
485,38,30
486,16,10
487,23,14
488,12,8
489,29,31
490,20,27
491,45,41
492,43,16
493,15,29
494,20,29
495,11,4
496,28,23
497,25,16
498,31,30
499,23,9
500,19,23
501,42,12
502,17,9
503,19,12
504,4,15
505,38,10
506,39,8
507,42,21
508,33,27
509,3,24
510,42,20
511,18,18
512,31,8
513,3,39
514,1,24
515,31,10
516,36,30
517,15,27
518,6,1
519,17,18
520,21,2
521,2,9
522,32,22
523,33,33
524,18,43
525,12,22
526,3,35
527,22,32
528,34,21
529,13,43
530,33,40
531,43,20
532,22,7
533,37,5
534,15,8
535,36,34
536,20,4
537,34,40
538,24,23
539,41,15
540,35,15
541,43,23
542,29,21
543,13,43
544,19,4
545,21,43
546,20,11
547,15,33
548,45,27
549,26,15
550,29,24
551,45,25
552,28,5
553,13,1
554,9,2
555,35,5
556,27,25
557,8,30
558,4,9
559,37,35
560,17,28
561,8,19
562,5,27
563,23,21
564,32,14
565,12,45
566,20,9
567,44,31
568,44,23
569,16,23
570,40,39
571,3,33
572,25,44
573,10,6
574,25,25
575,23,14
576,13,13
577,38,18
578,24,29
579,10,28
580,28,29
581,27,21
582,11,18
583,26,15
584,31,12
585,36,5
586,14,24
587,44,28
588,34,29
589,36,33
590,12,32
591,14,34
592,38,7
593,7,42
594,38,14
595,26,42
596,7,44
597,6,43
598,9,26
599,30,34
600,2,8
601,16,7
602,42,34
603,45,21
604,41,31
605,5,11
606,23,9
607,24,8
608,29,18
609,15,12
610,23,1
611,23,17
612,43,16
613,26,27
614,28,42
615,12,29
616,23,35
617,35,3
618,39,21
619,36,25
620,26,20
621,45,44
622,25,13
623,27,6
624,23,19
625,12,45
626,5,35
627,43,44
628,25,19
629,14,20
630,37,44
631,18,36
632,25,35
633,18,4
634,36,32
635,9,43
636,16,26
637,19,29
638,3,16
639,22,11
640,11,16
641,34,35
642,12,14
643,1,42
644,36,4
645,39,8
646,36,10
647,39,6
648,28,13
649,30,11
650,21,1
651,3,14
652,6,42
653,45,18
654,23,25
655,34,38
656,5,35
657,10,7
658,38,33
659,11,31
660,32,31
661,36,20
662,20,17
663,26,33
664,41,18
665,39,36
666,16,23
667,19,31
668,28,44
669,42,24
670,21,42
671,7,14
672,10,24
673,10,22
674,4,15
675,30,2
676,18,29
677,9,19
678,15,42
679,10,15
680,44,23
681,22,42
682,33,36
683,44,40
684,5,6
685,23,31
686,30,24
687,36,30
688,4,20
689,12,28
690,18,22
691,10,38
692,35,2
693,12,6
694,19,9
695,44,5
696,38,1
697,42,8
698,27,36
699,11,16
700,17,7
701,32,45
702,23,5
703,30,21
704,30,7
705,8,22
706,12,38
707,15,7
708,36,41
709,12,17
710,27,25
711,40,32
712,31,18
713,6,33
714,13,6
715,7,36
716,18,20
717,18,31
718,37,18
719,5,10
720,7,7
721,40,6
722,45,16
723,38,16
724,28,14
725,10,33
726,39,31
727,22,28
728,15,19
729,45,19
730,22,10
731,42,7
732,41,1
733,24,1
734,37,26
735,14,21
736,11,15
737,40,33
738,10,29
739,14,22
740,35,28
741,11,26
742,27,41
743,17,16
744,14,28
745,4,35
746,15,28
747,33,11
748,37,19
749,1,8
750,19,38
751,17,43
752,39,42
753,10,18
754,8,39
755,38,18
756,32,28
757,35,36
758,12,42
759,32,34
760,28,16
761,20,14
762,40,42
763,5,8
764,41,13
765,22,37
766,22,45
767,42,16
768,38,23
769,18,36
770,27,41
771,34,23
772,40,5
773,23,40
774,16,22
775,20,16
776,25,41
777,43,7
778,17,28
779,9,39
780,44,19
781,32,44
782,32,4
783,39,44
784,33,34
785,28,10
786,37,20
787,44,25
788,27,17
789,12,15
790,10,35
791,3,37
792,5,45
793,16,44
794,17,44
795,7,20
796,17,8
797,43,39
798,31,6
799,31,21
800,13,20
801,14,14
802,45,31
803,13,43
804,26,7
805,41,10
806,31,24
807,35,9
808,12,14
809,39,19
810,25,37
811,8,4
812,45,42
813,5,44
814,16,9
815,5,38
816,6,24
817,13,5
818,38,37
819,10,31
820,14,8
821,40,10
822,43,3
823,11,15
824,15,13
825,27,17
826,41,43
827,13,18
828,25,6
829,30,7
830,21,17
831,43,37
832,13,37
833,41,39
834,2,2
835,19,31
836,15,33
837,42,27
838,18,34
839,19,14
840,20,18
841,16,35
842,2,17
843,2,25
844,14,41
845,1,23
846,31,31
847,39,15
848,10,8
849,12,5
850,34,18
851,34,21
852,39,14
853,37,4
854,18,9
855,11,26
856,36,14
857,23,24
858,19,32
859,27,16
860,29,33
861,43,42
862,41,44
863,4,26
864,39,21
865,9,40
866,39,41
867,44,14
868,33,20
869,40,23
870,13,18
871,10,28
872,9,40
873,25,38
874,27,25
875,12,16
876,2,40
877,31,4
878,5,25
879,45,19
880,44,5
881,28,36
882,37,17
883,27,2
884,39,40
885,7,6
886,41,3
887,2,42
888,30,5
889,45,32
890,24,29
891,42,37
892,14,41
893,41,38
894,17,13
895,40,33
896,36,43
897,30,43
898,40,42
899,41,28
900,11,34
901,23,27
902,11,37
903,36,26
904,34,26
905,43,17
906,9,16
907,44,37
908,11,41
909,5,33
910,12,7
911,21,44
912,30,16
913,12,30
914,28,19
915,24,35
916,12,42
917,1,23
918,5,12
919,40,31
920,42,35
921,10,43
922,20,10
923,33,41
924,16,27
925,39,13
926,22,9
927,2,45
928,11,16
929,37,21
930,38,12
931,5,7
932,24,33
933,10,14
934,42,7
935,9,12
936,31,45
937,45,20
938,20,40
939,25,26
940,13,32
941,28,20
942,31,11
943,36,45
944,39,44
945,12,43
946,31,44
947,10,18
948,42,34
949,36,38
950,9,36
951,17,23
952,26,25
953,21,17
954,10,11
955,38,6
956,35,30
957,9,42
958,12,4
959,7,22
960,31,44
961,9,31
962,29,14
963,10,21
964,40,32
965,22,27
966,22,27
967,32,22
968,12,36
969,17,22
970,34,21
971,16,5
972,29,11
973,10,42
974,30,16
975,16,16
976,44,24
977,36,25
978,38,4
979,29,25
980,17,44
981,20,7
982,20,32
983,44,42
984,7,11
985,34,8
986,28,9
987,5,26
988,2,25
989,21,45
990,14,11
991,34,28
992,3,14
993,20,44
994,38,17
995,25,5
996,35,45
997,41,10
998,38,34
999,44,17
1000,17,28
1001,39,33
1002,39,41
1003,41,20
1004,41,40
1005,32,20
1006,7,9
1007,7,27
1008,39,26
1009,5,5
1010,30,35
1011,17,11
1012,4,3
1013,3,43
1014,42,14
1015,42,34
1016,31,40
1017,40,11
1018,38,32
1019,19,7
1020,5,31
1021,8,38
1022,17,17
1023,32,23
1024,16,41
1025,3,3
1026,28,10
1027,12,8
1028,31,5
1029,35,5
1030,27,11
1031,45,33
1032,4,19
1033,16,19
1034,28,42
1035,13,33
1036,10,15
1037,15,28
1038,3,10
1039,40,23
1040,9,17
1041,14,19
1042,20,9
1043,4,27
1044,19,29
1045,18,16
1046,30,31
1047,23,7
1048,44,32
1049,23,6
1050,7,6
1051,25,30
1052,2,4
1053,33,28
1054,37,5
1055,21,43
1056,34,3
1057,42,10
1058,3,9
1059,44,44
1060,19,38
1061,16,22
1062,25,11
1063,35,28
1064,26,30
1065,29,42
1066,44,15
1067,3,36
1068,37,40
1069,7,3
1070,12,2
1071,24,43
1072,3,29
1073,32,4
1074,9,33
1075,40,40
1076,9,30
1077,14,35
1078,37,30
1079,33,20
1080,27,27
1081,16,45
1082,25,45
1083,3,8
1084,40,43
1085,19,43
1086,39,34
1087,39,32
1088,10,1
1089,33,29
1090,15,10
1091,40,31
1092,38,38
1093,35,9
1094,9,44
1095,7,29
1096,35,24
1097,20,18
1098,41,35
1099,20,12
1100,43,20
1101,8,11
1102,19,12
1103,18,12
1104,34,28
1105,36,23
1106,8,3
1107,22,40
1108,43,29
1109,7,9
1110,12,1
1111,45,28
1112,34,17
1113,25,42
1114,1,13
1115,19,40
1116,6,35
1117,2,20
1118,45,44
1119,13,32
1120,11,19
1121,24,15
1122,31,3
1123,6,39
1124,18,26
1125,13,10
1126,17,45
1127,6,3
1128,18,30
1129,20,25
1130,41,20
1131,18,45
1132,15,34
1133,34,22
1134,39,20
1135,43,23
1136,34,19
1137,44,4
1138,13,45
1139,7,17
1140,1,43
1141,6,5
1142,37,12
1143,6,34
1144,43,14
1145,24,41
1146,3,23
1147,37,19
1148,2,7
1149,17,32
1150,44,13
1151,2,24
1152,39,20
1153,23,27
1154,10,29
1155,31,14
1156,45,35
1157,22,36
1158,35,44
1159,17,12
1160,23,26
1161,25,3
1162,25,36
1163,13,23
1164,36,43
1165,35,10
1166,31,44
1167,12,11
1168,4,18
1169,17,29
1170,39,42
1171,12,6
1172,27,39
1173,33,41
1174,32,14
1175,8,41
1176,14,28
1177,15,28
1178,32,16
1179,11,15
1180,31,28
1181,29,31
1182,25,11
1183,33,5
1184,24,7
1185,16,39
1186,34,38
1187,16,42
1188,16,9
1189,30,17
1190,36,41
1191,26,42
1192,37,45
1193,5,30
1194,20,7
1195,23,10
1196,13,34
1197,21,19
1198,30,10
1199,45,30
1200,21,16
1201,31,14
1202,34,15
1203,13,14
1204,35,29
1205,20,37
1206,19,31
1207,34,14
1208,34,43
1209,16,31
1210,16,22
1211,38,41
1212,39,2
1213,23,19
1214,10,33
1215,45,11
1216,43,16
1217,27,9
1218,2,15
1219,29,18
1220,19,42
1221,41,5
1222,21,2
1223,24,35
1224,22,44
1225,22,1
1226,5,33
1227,2,16
1228,4,21
1229,4,3
1230,44,42
1231,22,10
1232,6,44
1233,11,4
1234,26,21
1235,38,26
1236,7,7
1237,5,26
1238,5,45
1239,22,24
1240,36,35
1241,26,19
1242,5,9
1243,12,17
1244,34,31
1245,44,44
1246,39,21
1247,39,39
1248,45,16
1249,45,27
1250,19,22
1251,16,34
1252,30,36
1253,42,8
1254,37,30
1255,31,35
1256,28,25
1257,23,20
1258,14,39
1259,6,31
1260,23,25
1261,32,21
1262,13,10
1263,9,8
1264,21,4
1265,25,27
1266,9,10
1267,42,34
1268,41,4
1269,21,7
1270,38,1
1271,31,17
1272,42,16
1273,31,14
1274,11,24
1275,33,25
1276,34,14
1277,17,1
1278,6,3
1279,11,23
1280,28,15
1281,22,10
1282,28,43
1283,6,35
1284,9,45
1285,36,12
1286,31,12
1287,30,42
1288,40,44
1289,4,20
1290,13,24
1291,45,26
1292,24,24
1293,31,40
1294,30,27
1295,38,28
1296,1,29
1297,28,22
1298,44,7
1299,7,5
1300,37,37
1301,23,37
1302,9,17
1303,27,20
1304,25,7
1305,29,1
1306,8,8
1307,22,37
1308,8,2
1309,45,3
1310,11,39
1311,36,41
1312,31,31
1313,15,23
1314,26,42
1315,26,1
1316,28,21
1317,30,26
1318,10,11
1319,6,45
1320,16,20
1321,23,27
1322,45,24
1323,1,25
1324,5,37
1325,20,1
1326,8,21
1327,12,39
1328,16,32
1329,27,42
1330,15,41
1331,21,25
1332,24,21
1333,25,36
1334,3,44
1335,23,13
1336,41,30
1337,25,15
1338,29,18
1339,42,4
1340,32,40
1341,44,19
1342,10,9
1343,23,43
1344,23,22
1345,11,41
1346,28,34
1347,29,40
1348,39,39
1349,25,2
1350,37,35
1351,3,13
1352,14,38
1353,11,32
1354,34,3
1355,3,21
1356,39,24
1357,10,34
1358,20,45
1359,13,8
1360,32,19
1361,17,38
1362,19,41
1363,10,17
1364,16,7
1365,34,15
1366,22,21
1367,33,17
1368,13,40
1369,38,1
1370,29,13
1371,24,10
1372,10,6
1373,22,15
1374,3,33
