Knapsack,Capacity
1,110
2,343
3,324
4,68
5,261
6,493
7,299
8,435
9,426
10,277
11,78
12,124
13,61
14,149
15,459
16,356
17,262
18,141
19,358
20,359
21,303
22,115
23,162
24,412
25,244
26,152
27,50
28,493
29,433
30,199
31,392
32,494
33,445
34,405
35,323
36,240
37,204
38,55
39,418
40,364
41,459
42,451
43,493
44,446
45,166
46,212
47,308
48,92
49,253
50,166
51,392
52,301
53,70
54,173
55,230
56,132
57,120
58,171
59,443
60,369
61,96
62,97
63,306
64,105
65,454
66,107
67,150
68,157
69,302
70,126
71,261
72,399
73,410
74,458
75,285
76,444
77,131
78,342
79,234
80,231
81,421
82,210
83,428
84,209
85,361
86,357
87,314
88,460
89,88
90,379
91,130
92,191
93,160
94,60
95,147
96,415
97,299
98,94
99,98
100,317
101,497
102,484
103,209
104,317
105,389
106,371
107,54
108,270
109,455
110,367
111,433
112,373
113,460
114,213
115,455
116,476
117,306
118,500
119,293
120,273
121,434
122,224
123,281
124,456
125,341
126,459
127,271
128,492
129,63
130,91
131,332
132,451
133,433
134,111
135,53
136,340
137,319
138,368
139,75
140,498
141,135
142,258
143,221
144,260
145,493
146,423
147,127
148,271
149,324
150,91
151,345
152,177
153,351
154,369
155,135
156,410
157,72
158,425
159,318
160,191
161,473
162,434
163,312
164,476
165,145
166,390
167,304
168,315
169,176
170,422
171,166
172,170
173,120
174,308
175,202
176,329
177,231
178,477
179,72
180,98
181,86
182,110
183,241
184,53
185,124
186,95
187,335
188,483
189,397
190,137
191,121
192,56
193,343
194,365
195,160
196,141
197,286
198,270
199,151
200,198
201,340
202,233
203,222
204,131
205,277
206,288
207,64
208,425
209,141
210,359
211,101
212,482
213,97
214,489
215,437
216,432
217,335
218,287
219,316
220,201
221,124
222,340
223,207
224,147
225,158
226,422
227,326
228,124
229,372
230,285
231,313
232,256
233,260
234,309
235,435
236,332
237,176
238,354
239,166
240,261
241,55
242,420
243,471
244,254
245,285
246,491
247,350
248,416
249,376
250,312
251,160
252,75
253,361
254,316
255,259
256,286
257,408
258,457
259,88
260,162
261,297
262,70
263,118
264,411
265,456
266,151
267,309
268,328
269,371
270,406
271,377
272,407
273,489
274,228
275,373
276,244
277,480
278,433
279,54
280,119
281,222
282,334
283,374
284,58
285,372
286,433
287,201
288,393
289,428
290,362
291,72
292,469
293,227
294,302
295,493
296,229
297,322
298,367
299,444
300,191
301,177
302,68
303,357
304,77
305,292
306,416
307,351
308,349
309,296
310,141
311,225
312,180
313,86
314,352
315,386
316,79
317,380
318,117
319,387
320,407
321,137
322,489
323,109
324,352
325,323
326,489
327,357
328,342
329,396
330,239
331,258
332,394
333,458
334,116
335,248
336,228
337,271
338,405
339,144
340,215
341,474
342,90
343,444
344,201
345,428
346,372
347,355
348,63
349,175
350,391
351,325
352,294
353,284
354,380
355,445
356,214
357,288
358,126
359,488
360,261
361,464
362,226
363,168
364,492
365,251
366,204
367,50
368,110
369,111
370,339
371,430
372,141
373,219
374,179
375,410
376,264
377,324
378,496
379,198
380,432
381,144
382,293
383,429
384,473
385,188
386,267
387,146
388,426
389,85
390,447
391,427
392,133
393,307
394,266
395,172
396,258
397,500
398,230
399,316
400,250
401,292
402,144
403,448
404,142
405,449
406,455
407,491
408,465
409,399
410,111
411,155
412,106
413,379
414,105
415,200
416,472
417,445
418,474
419,62
420,54
421,384
422,351
423,477
424,172
425,336
426,90
427,500
428,178
429,115
430,243
431,301
432,84
433,371
434,95
435,247
436,385
437,65
438,474
439,242
440,338
441,318
442,368
443,480
444,59
445,152
446,412
447,249
448,76
449,260
450,303
451,355
452,494
453,287
454,206
455,313
456,333
457,287
458,244
459,51
460,61
461,55
462,436
463,490
464,400
465,374
466,382
467,290
468,195
469,442
470,209
471,177
472,249
473,288
474,71
475,282
476,386
477,161
478,274
479,356
480,237
481,291
482,221
483,99
484,76
485,59
486,341
487,476
488,353
489,209
490,377
491,134
492,370
493,222
494,124
495,343
496,92
497,148
498,168
499,102
500,282
501,413
502,429
503,350
504,201
505,427
506,480
507,123
508,358
509,399
510,426
511,188
512,221
513,185
514,198
515,155
516,115
517,138
518,159
519,377
520,480
521,274
522,400
523,410
524,355
525,85
526,420
527,137
528,235
529,344
530,308
531,247
532,170
533,78
534,81
535,416
536,419
537,94
538,331
539,118
540,496
541,420
542,390
543,452
544,424
545,273
546,406
547,321
548,202
549,398
550,456
551,427
552,464
553,123
554,272
555,81
556,217
557,210
558,59
559,500
560,361
561,474
562,71
563,409
564,362
565,320
566,294
567,367
568,461
569,276
570,55
571,468
572,387
573,175
574,399
575,354
576,63
577,448
578,325
579,96
580,267
581,256
582,83
583,168
584,207
585,432
586,388
587,71
588,212
589,279
590,295
591,244
592,440
593,107
594,462
595,217
596,366
597,90
598,365
599,462
600,449
601,144
602,158
603,385
604,326
605,256
606,51
607,363
608,302
609,126
610,260
611,325
612,422
613,271
614,245
615,336
616,165
617,375
618,194
619,279
620,274
621,127
622,290
623,348
624,288
625,239
626,113
627,263
628,445
629,264
630,291
631,401
632,249
633,305
634,281
635,124
636,360
637,359
638,107
639,296
640,332
641,205
642,172
643,499
644,106
645,171
646,488
647,217
648,202
649,471
650,376
