Item,Weight,Value
1,15,23
2,40,25
3,24,36
4,26,6
5,9,24
6,22,26
7,23,41
8,30,27
9,22,22
10,20,22
11,38,16
12,37,21
13,21,22
14,1,29
15,4,30
16,8,14
17,4,35
18,22,31
19,20,3
20,30,45
21,2,37
22,31,22
23,1,26
24,5,1
25,43,33
26,34,29
27,31,15
28,19,42
29,13,30
30,17,20
31,24,26
32,27,43
33,40,16
34,3,45
35,4,38
36,4,30
37,43,28
38,34,22
39,44,43
40,40,5
41,13,38
42,42,5
43,32,28
44,2,6
45,4,32
46,14,9
47,31,30
48,1,22
49,2,37
50,43,34
51,6,9
52,26,27
53,42,14
54,21,37
55,44,33
56,7,4
57,16,38
58,37,18
59,37,29
60,19,31
61,40,44
62,41,7
63,38,5
64,44,43
65,6,17
66,25,16
67,4,12
68,18,2
69,1,3
70,31,10
71,33,41
72,22,5
73,44,43
74,7,19
75,14,18
76,23,4
77,23,12
78,32,37
79,17,5
80,45,20
81,29,4
82,32,38
83,29,43
84,10,18
85,37,43
86,6,31
87,33,41
88,31,23
89,22,15
90,16,17
91,38,39
92,11,3
93,13,16
94,23,4
95,8,8
96,9,35
97,8,40
98,37,45
99,41,16
100,28,41
101,31,18
102,7,24
103,21,28
104,19,9
105,18,18
106,7,15
107,25,13
108,17,21
109,38,35
110,8,28
111,37,22
112,10,28
113,1,36
114,24,28
115,24,15
116,33,42
117,38,5
118,44,35
119,21,22
120,9,20
121,39,19
122,6,11
123,41,15
124,42,25
125,23,38
126,4,3
127,28,35
128,45,8
129,25,15
130,14,31
131,4,26
132,8,2
133,33,13
134,32,3
135,43,14
136,4,22
137,36,38
138,8,42
139,37,41
140,43,15
141,39,3
142,3,37
143,38,30
144,22,3
145,39,29
146,44,33
147,38,5
148,6,26
149,45,32
150,22,19
151,4,20
152,30,33
153,5,27
154,5,1
155,42,13
156,2,34
157,40,16
158,2,31
159,37,25
160,26,2
161,30,27
162,14,36
163,41,24
164,27,1
165,44,23
166,22,18
167,24,11
168,6,19
169,12,19
170,20,42
171,34,40
172,22,18
173,27,3
174,34,16
175,41,20
176,11,36
177,11,18
178,2,2
179,21,18
180,25,8
181,42,14
182,34,4
183,40,3
184,22,9
185,16,8
186,38,2
187,45,45
188,8,36
189,44,39
190,11,43
191,9,31
192,16,35
193,36,16
194,41,35
195,31,45
196,12,15
197,12,43
198,35,32
199,37,28
200,36,38
201,44,34
202,5,15
203,5,28
204,29,40
205,40,27
206,29,35
207,29,17
208,25,41
209,16,35
210,23,5
211,9,40
212,8,37
213,7,40
214,10,5
215,23,43
216,33,18
217,7,41
218,1,33
219,13,18
220,12,9
221,5,5
222,8,9
223,19,41
224,1,8
225,34,23
226,1,7
227,41,35
228,31,17
229,25,42
230,12,10
231,12,41
232,12,3
233,38,12
234,11,43
235,31,16
236,3,29
237,17,23
238,39,11
239,28,21
240,12,38
241,4,42
242,10,19
243,16,8
244,9,22
245,45,6
246,9,7
247,15,4
248,26,2
249,33,10
250,33,20
251,44,39
252,41,17
253,31,32
254,16,21
255,2,8
256,13,3
257,12,5
258,33,28
259,39,10
260,18,39
261,12,4
262,21,13
263,42,25
264,3,3
265,43,9
266,13,24
267,12,41
268,26,13
269,14,45
270,37,30
271,13,42
272,44,38
273,10,30
274,41,32
275,20,27
276,43,34
277,42,4
278,31,34
279,35,18
280,37,34
281,21,14
282,5,16
283,32,40
284,10,8
285,19,10
286,35,34
287,41,45
288,6,26
289,35,18
290,36,32
291,6,21
292,6,27
293,27,1
294,37,34
295,36,27
296,3,17
297,8,35
298,24,3
299,17,31
300,10,24
301,3,20
302,12,41
303,34,5
304,43,4
305,6,38
306,31,20
307,29,9
308,42,15
309,12,14
310,7,33
311,45,25
312,4,1
313,28,16
314,9,23
315,34,12
316,22,25
317,22,5
318,12,36
319,18,40
320,41,4
321,20,39
322,36,9
323,40,35
324,23,21
325,4,45
326,13,18
327,43,33
328,13,34
329,45,1
330,45,15
331,34,12
332,40,9
333,29,37
334,27,44
335,43,29
336,6,5
337,10,5
338,36,16
339,13,32
340,42,3
341,41,44
342,15,17
343,29,35
344,42,21
345,11,26
346,32,45
347,32,3
348,23,2
349,7,16
350,19,28
351,15,45
352,37,32
353,4,25
354,45,3
355,4,34
356,9,22
357,21,13
358,41,21
359,36,25
360,35,41
361,27,25
362,27,44
363,12,20
364,8,35
365,32,2
366,25,15
367,34,27
368,24,25
369,15,44
370,14,17
371,5,42
372,9,21
373,19,32
374,35,17
375,12,6
376,44,5
377,36,19
378,8,43
379,7,11
380,35,7
381,9,25
382,45,12
383,23,44
384,21,32
385,4,6
386,43,26
387,27,33
388,7,15
389,16,39
390,8,32
391,12,5
392,3,44
393,20,17
394,5,19
395,20,13
396,1,1
397,36,7
398,38,41
399,33,3
400,8,11
401,37,19
402,44,24
403,24,5
404,42,1
405,31,25
406,30,45
407,25,13
408,20,38
409,2,3
410,14,40
411,21,43
412,34,5
413,19,22
414,37,6
415,22,13
416,4,22
417,44,18
418,36,33
419,44,25
420,12,16
421,30,38
422,16,42
423,29,30
424,25,34
425,25,24
426,4,43
427,30,38
428,33,40
429,40,9
430,18,24
431,2,21
432,22,35
433,36,35
434,18,6
435,17,8
436,16,14
437,11,28
438,42,25
439,10,34
440,35,2
441,17,42
442,8,29
443,20,8
444,9,31
445,39,6
446,34,14
447,15,23
448,26,8
449,2,13
450,40,32
451,30,12
452,4,21
453,30,14
454,38,34
455,35,40
456,21,35
457,15,23
458,5,10
459,31,24
460,32,32
461,32,21
462,14,25
463,31,37
464,27,22
465,14,15
466,20,22
467,34,26
468,38,24
469,4,13
470,27,35
471,32,37
472,23,41
473,20,15
474,15,40
475,37,45
476,40,2
477,44,43
478,13,11
479,8,31
480,12,34
481,19,31
482,15,35
483,27,43
484,17,26
485,17,27
486,22,7
487,2,11
488,28,24
489,9,42
490,33,36
491,19,36
492,42,36
493,25,28
494,13,7
495,5,24
496,23,42
497,27,5
498,43,35
499,9,34
500,17,40
501,42,32
502,38,14
503,45,23
504,5,2
505,9,15
506,26,34
507,13,36
508,30,29
509,34,34
510,28,16
511,26,35
512,40,5
513,4,32
514,3,30
515,18,26
516,22,27
517,43,36
518,30,31
519,44,35
520,6,20
521,10,34
522,41,44
523,17,25
524,18,6
525,28,14
526,23,26
527,30,15
528,11,32
529,9,28
530,41,35
531,17,19
532,35,1
533,45,4
534,38,13
535,19,22
536,12,12
537,13,9
538,9,12
539,42,39
540,40,1
541,17,44
542,26,22
543,31,19
544,15,32
545,13,33
546,36,33
547,26,43
548,13,5
549,17,44
550,5,14
551,2,27
552,36,29
553,23,44
554,27,30
555,42,37
556,44,12
557,9,23
558,18,40
559,26,15
560,40,13
561,9,30
562,39,11
563,35,44
564,22,5
565,27,21
566,13,7
567,15,14
568,27,5
569,2,43
570,13,13
571,30,9
572,45,36
573,4,31
574,22,13
575,43,35
576,37,25
577,34,1
578,28,27
579,41,44
580,2,14
581,32,31
582,2,3
583,2,18
584,26,2
585,5,43
586,32,26
587,25,45
588,10,15
589,29,33
590,9,24
591,22,32
592,9,35
593,31,6
594,22,43
595,26,17
596,31,41
597,7,29
598,38,30
599,35,10
600,33,7
601,42,33
602,15,12
603,3,32
604,27,3
605,12,8
606,28,28
607,22,4
