Knapsack,Capacity
1,424
2,454
3,217
4,90
5,189
6,129
7,148
8,276
9,322
10,461
11,291
12,316
13,326
14,142
15,336
16,212
17,252
18,91
19,478
20,452
21,395
22,201
23,464
24,274
25,331
26,499
27,489
28,103
29,336
30,89
31,118
32,205
33,292
34,474
35,500
36,264
37,175
38,460
39,378
40,137
41,283
42,162
43,129
44,281
45,82
46,488
47,234
48,479
49,346
50,108
51,231
52,60
53,322
54,333
55,249
56,382
57,57
58,354
59,96
60,409
61,213
62,425
63,416
64,383
65,309
66,326
67,372
68,361
69,392
70,85
71,70
72,310
73,386
74,397
75,494
76,193
77,435
78,250
79,430
80,241
81,452
82,441
83,62
84,493
85,386
86,96
87,473
88,352
89,233
90,339
91,67
92,99
93,107
94,368
95,94
96,107
97,383
98,265
99,427
100,287
101,453
102,170
103,309
104,489
105,140
106,294
107,101
108,112
109,83
110,284
111,265
112,176
113,375
114,96
115,320
116,191
117,223
118,446
119,95
120,161
121,314
122,63
123,135
124,225
125,123
126,350
127,131
128,128
129,479
130,119
131,313
132,239
133,240
134,190
135,276
136,77
137,354
138,377
139,102
140,500
141,221
142,456
143,204
144,123
145,452
146,109
147,206
148,167
149,271
150,165
151,467
152,242
153,458
154,384
155,459
156,382
157,328
158,352
159,71
160,253
161,430
162,69
163,207
164,455
165,324
166,351
167,397
168,207
169,78
170,434
171,435
172,464
173,311
174,430
175,212
176,244
177,200
178,424
179,210
180,493
181,210
182,303
183,344
184,350
185,91
186,237
187,88
188,361
189,76
190,294
191,97
192,98
193,252
194,421
195,134
196,204
197,72
198,389
199,457
200,146
201,413
202,483
203,62
204,64
205,190
206,88
207,201
208,370
209,87
210,186
211,367
212,187
213,394
214,403
215,331
216,482
217,171
218,59
219,371
220,67
221,147
222,340
223,291
224,259
225,262
226,85
227,246
228,393
229,465
230,272
231,352
232,394
233,176
234,387
235,395
236,429
237,236
238,236
239,210
240,480
241,416
242,243
243,485
244,122
245,51
246,324
247,131
248,181
249,103
250,239
251,315
252,162
253,141
254,120
255,232
256,396
257,430
258,88
259,402
260,98
261,139
262,140
263,300
264,138
265,179
266,224
267,114
268,201
269,90
270,364
271,252
272,464
273,363
274,463
275,261
276,191
277,114
278,323
279,140
280,57
281,123
282,339
283,273
284,183
285,215
286,470
287,173
288,64
289,88
290,477
291,53
292,375
293,384
294,74
295,352
296,218
297,296
298,414
299,273
300,163
301,418
302,381
303,381
304,443
305,476
306,220
307,205
308,374
309,66
310,344
311,327
312,460
313,123
314,452
315,203
316,93
317,494
318,336
319,279
320,410
321,486
322,182
323,462
324,150
325,357
326,249
327,229
328,175
329,466
330,493
331,237
332,415
333,191
334,320
335,330
336,148
337,173
338,83
339,318
340,150
341,124
342,327
343,163
344,415
345,220
346,88
347,159
348,100
349,369
350,82
351,73
352,496
353,281
354,89
355,87
356,215
357,238
358,471
359,431
360,60
361,173
362,480
363,499
364,394
365,89
366,160
367,439
368,121
369,111
370,206
371,73
372,415
373,304
374,273
375,458
376,357
377,100
378,113
379,186
380,293
381,423
382,269
383,363
384,79
385,176
386,213
387,76
388,386
389,358
390,351
391,417
392,270
393,417
394,282
395,104
396,248
397,372
398,296
399,333
400,82
401,356
402,302
403,175
404,256
405,435
406,409
407,348
408,487
409,230
410,151
411,138
412,451
413,442
414,242
415,414
416,321
417,348
418,183
419,217
420,410
421,182
422,315
423,144
424,127
425,97
426,339
427,327
428,122
429,353
430,185
431,281
432,51
433,142
434,193
435,493
436,368
437,189
438,58
439,180
440,419
441,58
442,313
443,373
444,243
445,79
446,429
447,100
448,395
449,277
450,267
451,219
452,447
453,370
454,234
455,460
456,444
457,120
458,445
459,355
460,469
461,442
462,85
463,97
464,487
465,171
466,170
467,211
468,289
469,71
470,282
471,128
472,107
473,79
474,369
475,236
476,334
477,468
478,331
479,151
480,63
481,500
482,141
483,121
484,93
485,258
486,363
487,344
488,135
489,105
490,284
491,352
492,86
493,381
494,427
495,75
496,489
497,297
498,259
499,488
500,407
