Knapsack,Capacity
1,494
2,389
3,319
4,78
5,90
6,98
7,153
8,347
9,372
10,64
11,82
12,198
13,249
14,162
15,217
16,187
17,294
18,326
19,286
20,458
21,280
22,386
23,435
24,318
25,331
26,290
27,84
28,495
29,94
30,427
31,102
32,174
33,479
34,431
35,228
36,383
37,288
38,296
39,448
40,242
41,284
42,84
43,216
44,224
45,256
46,354
47,374
48,428
49,272
50,100
51,212
52,127
53,268
54,291
55,381
56,306
57,401
58,60
59,74
60,339
61,239
62,166
63,146
64,315
65,408
66,315
67,91
68,146
69,493
70,351
71,419
72,109
73,298
74,206
75,325
76,367
77,392
78,52
79,304
80,159
81,469
82,165
83,435
84,72
85,477
86,362
87,383
88,441
89,242
90,333
91,175
92,141
93,73
94,487
95,493
96,315
97,220
98,128
99,332
100,107
