Item,Weight,Value
1,9,36
2,13,4
3,12,2
4,6,19
5,31,23
6,24,25
7,24,39
8,1,37
9,32,7
10,6,24
11,33,36
12,29,7
13,45,31
14,4,19
15,15,18
16,3,32
17,19,12
18,36,43
19,24,12
20,6,38
21,29,12
22,10,30
23,36,4
24,34,22
25,10,9
26,19,38
27,2,8
28,32,9
29,25,25
30,33,35
31,22,36
32,33,44
33,32,20
34,21,16
35,14,6
36,34,27
37,18,30
38,6,17
39,20,33
40,27,6
41,45,42
42,13,17
43,1,24
44,23,20
45,6,15
46,4,28
47,45,36
48,7,39
49,45,19
50,38,40
51,45,26
52,14,16
53,1,20
54,41,6
55,11,20
56,8,36
57,17,37
58,1,44
59,27,35
60,19,2
61,38,3
62,27,3
63,7,1
64,16,22
65,35,22
66,45,37
67,9,40
68,14,45
69,16,3
70,35,29
71,3,5
72,18,15
73,37,10
74,43,2
75,13,13
76,22,33
77,9,39
78,23,5
79,7,9
80,6,10
81,39,20
82,9,44
83,1,7
84,41,34
85,15,38
86,19,2
87,8,7
88,21,37
89,33,6
90,31,16
91,13,34
92,40,41
93,11,18
94,18,7
95,6,11
96,26,28
97,23,6
98,22,21
99,42,22
100,4,32
101,22,9
102,5,45
103,39,20
104,24,9
105,4,27
106,1,32
107,21,44
108,29,20
109,45,7
110,29,19
111,9,30
112,15,25
113,43,21
114,34,4
115,6,5
116,38,34
117,28,12
118,41,32
119,34,42
120,11,13
121,19,27
122,43,28
123,25,35
124,13,44
125,14,3
126,19,25
127,30,9
128,27,12
129,6,37
130,13,44
131,6,14
132,21,7
133,15,15
134,8,20
135,24,24
136,38,14
137,34,8
138,21,45
139,42,14
140,44,24
141,32,41
142,8,10
143,45,36
144,26,26
145,3,9
146,30,19
147,45,4
148,18,32
149,18,10
150,33,13
151,38,7
152,13,15
153,7,17
154,13,34
155,21,35
156,33,9
157,13,43
158,36,43
159,15,23
160,44,31
161,31,16
162,24,25
163,5,31
164,20,13
165,31,19
166,43,8
167,11,2
168,31,27
169,15,19
170,11,11
171,28,13
172,10,19
173,29,41
174,8,38
175,27,8
176,21,35
177,1,25
178,1,17
179,41,44
180,12,15
181,11,19
182,4,32
183,33,7
184,26,20
185,1,2
186,32,9
187,23,37
188,35,15
189,12,45
190,34,30
191,38,38
192,7,22
193,40,20
194,38,43
195,17,43
196,44,24
197,18,41
198,41,16
199,36,26
200,5,44
201,34,4
202,16,31
203,13,39
204,34,34
205,26,27
206,17,40
207,21,38
208,4,13
209,15,5
210,39,12
211,29,22
212,14,9
213,8,28
214,37,42
215,23,12
216,18,15
217,40,4
218,23,23
219,9,33
220,29,11
221,38,32
222,4,27
223,17,34
224,19,38
225,5,24
226,41,35
227,25,43
228,40,40
229,10,12
230,43,7
231,30,44
232,28,20
233,25,21
234,27,33
235,23,28
236,15,6
237,8,2
238,30,12
239,28,37
240,36,15
241,36,32
242,39,18
243,24,27
244,30,15
245,30,9
246,16,32
247,41,3
248,23,14
249,19,27
250,30,12
251,35,42
252,37,36
253,31,40
254,10,21
255,44,40
256,34,30
257,18,30
258,9,34
259,40,14
260,39,13
261,24,43
262,7,2
263,1,41
264,28,2
265,17,43
266,44,20
267,28,23
268,14,5
269,42,38
270,16,11
271,13,22
272,4,16
273,16,44
274,38,39
275,24,5
276,13,32
277,27,34
278,9,26
279,40,44
280,5,5
281,39,16
282,15,6
283,11,41
284,28,18
285,17,25
286,1,17
287,30,43
288,7,27
289,45,19
290,25,39
291,21,6
292,38,21
293,19,8
294,6,39
295,12,42
296,24,1
297,39,26
298,9,23
299,5,20
300,10,7
301,32,34
302,30,27
303,21,37
304,24,29
305,8,33
306,19,1
307,34,7
308,11,35
309,43,29
310,11,29
311,26,33
312,5,17
313,27,13
314,1,1
315,30,16
316,14,36
317,13,1
318,15,37
319,23,16
320,23,41
321,24,13
322,22,42
323,9,19
324,41,33
325,15,28
326,35,10
327,2,33
328,44,20
329,2,44
330,2,27
331,28,1
332,23,24
333,24,10
334,18,45
335,44,34
336,6,39
337,4,45
338,6,35
339,15,39
340,9,25
341,19,27
342,26,40
343,27,19
344,11,41
345,11,9
346,32,40
347,10,18
348,41,31
349,24,2
350,38,8
351,20,14
352,10,28
353,28,23
354,20,34
355,28,24
356,43,9
357,18,17
358,30,10
359,16,41
360,24,29
361,9,3
362,25,17
363,15,21
364,43,42
365,17,45
366,25,10
367,24,39
368,22,40
369,24,7
370,41,25
371,14,16
372,9,28
373,9,35
374,41,35
375,28,45
376,19,27
377,38,24
378,13,24
379,22,14
380,19,8
381,14,14
382,9,26
383,18,11
384,12,31
385,16,35
386,32,39
387,29,9
388,35,43
389,30,18
390,17,19
391,22,1
392,40,18
393,34,11
394,3,27
395,41,19
396,23,30
397,5,34
398,21,23
399,12,12
400,10,35
401,18,20
402,37,34
403,16,22
404,24,11
405,34,33
406,10,19
407,18,22
408,26,6
409,6,25
410,3,5
411,41,16
412,30,15
413,1,43
414,11,28
415,45,33
416,39,34
417,37,17
418,16,33
419,27,3
420,38,23
421,42,38
422,30,28
423,29,21
424,43,6
425,40,19
426,36,42
427,24,27
428,45,30
429,9,29
430,32,10
431,40,6
432,26,28
433,13,37
434,25,44
435,5,38
436,8,23
437,21,35
438,1,6
439,38,45
440,10,12
441,35,33
442,5,28
443,7,22
444,17,31
445,32,13
446,27,20
447,19,44
448,3,41
449,19,22
450,12,7
451,41,28
452,6,44
453,18,10
454,22,20
455,10,35
456,29,10
457,13,5
458,1,24
459,34,7
460,2,6
461,43,40
462,40,20
463,12,17
464,2,30
465,27,37
466,39,33
467,21,36
468,29,31
469,4,22
470,19,42
471,18,39
472,39,10
473,24,1
474,31,34
475,17,20
476,33,42
477,40,43
478,8,32
479,19,11
480,2,1
481,39,20
482,40,18
483,30,39
484,39,33
485,32,38
486,16,25
487,39,28
488,26,36
489,26,36
490,9,19
491,16,13
492,25,13
493,28,17
494,13,19
495,18,14
496,10,9
497,9,6
498,26,37
499,38,12
500,42,16
501,16,16
502,33,17
503,34,34
504,24,29
505,39,36
506,6,11
507,39,37
508,25,3
509,19,19
510,38,45
511,16,15
512,23,32
513,19,37
514,28,24
515,14,8
516,3,42
517,4,14
518,12,40
519,7,16
520,2,37
521,31,31
522,15,38
523,33,9
524,43,30
525,28,17
526,7,43
527,42,29
528,37,1
529,11,18
530,41,22
531,4,36
532,45,42
533,17,35
534,27,18
535,45,13
536,29,2
537,36,24
538,41,17
539,29,26
540,11,19
541,8,8
542,42,24
543,9,23
544,18,35
545,36,1
546,9,42
547,4,44
548,24,10
549,26,27
550,24,37
551,21,2
552,41,4
553,11,31
554,42,4
555,36,39
556,24,13
557,37,34
558,27,38
559,45,30
560,8,34
561,43,1
562,22,44
563,14,3
564,21,23
565,31,28
566,39,29
567,40,40
568,32,11
569,23,3
570,40,37
571,43,2
572,12,23
573,12,43
574,32,40
575,44,16
576,10,23
577,29,18
578,19,20
579,1,33
580,39,15
581,12,4
582,12,12
583,33,1
584,11,3
585,26,29
586,12,34
587,43,24
588,40,37
589,27,39
590,1,40
591,18,41
592,4,30
593,5,27
594,12,17
595,6,11
596,27,33
597,35,10
598,4,14
599,5,44
600,41,18
601,16,12
602,15,36
603,16,16
604,17,31
605,21,23
606,21,35
607,8,28
608,13,14
609,6,3
610,13,37
611,15,11
612,15,19
613,27,8
614,8,4
615,38,7
616,14,21
617,31,5
618,11,25
619,8,6
620,24,27
621,19,19
622,3,27
623,25,38
624,15,39
625,22,32
626,14,42
627,29,36
628,29,9
629,22,43
630,22,21
631,18,23
632,11,3
633,35,24
634,7,4
635,21,41
636,38,44
637,25,12
638,23,32
639,2,23
640,37,30
641,21,21
642,14,15
643,28,8
644,2,22
645,25,19
646,24,32
647,3,29
648,9,5
649,22,36
650,39,10
651,30,24
652,40,2
653,9,13
654,18,3
655,26,3
656,10,12
657,22,22
658,21,1
659,18,12
660,3,34
661,4,15
662,29,3
663,23,1
664,28,25
665,43,16
666,12,1
667,3,30
668,38,30
669,29,5
670,31,8
671,6,20
672,9,26
673,27,40
674,3,21
675,19,7
676,39,15
677,28,23
678,42,11
679,28,26
680,35,11
681,15,43
682,23,1
683,40,38
684,32,23
685,25,7
686,29,4
687,21,26
688,31,24
689,26,5
690,41,38
691,38,27
692,2,28
693,31,8
694,20,8
695,1,17
696,25,26
697,3,34
698,37,32
699,6,7
700,7,27
701,20,20
702,9,31
703,27,19
704,12,42
705,45,21
706,21,18
707,30,1
708,22,21
709,2,20
710,42,4
711,8,35
712,19,18
713,14,44
714,34,21
715,28,37
716,43,2
717,9,36
718,27,1
719,7,12
720,26,21
721,30,25
722,29,42
723,19,20
724,15,14
725,10,38
726,22,16
727,33,10
728,24,37
729,33,26
730,7,15
731,10,6
732,1,35
733,28,9
734,40,7
735,19,19
736,34,12
737,22,9
738,16,15
739,9,45
740,3,24
741,34,42
742,41,33
743,18,14
744,1,12
745,11,30
746,20,16
747,36,23
748,8,10
749,8,40
750,28,28
751,23,45
752,34,41
753,38,41
754,41,38
755,5,32
756,23,23
757,3,1
758,13,35
759,34,8
760,27,43
761,16,39
762,43,8
763,13,9
764,10,37
765,18,26
766,30,8
767,24,5
768,42,26
769,25,39
770,33,27
771,27,27
772,21,34
773,14,24
774,16,41
775,19,6
776,33,26
777,8,2
778,14,12
779,5,12
780,39,41
781,12,20
782,44,37
783,44,43
784,23,37
785,42,8
786,20,7
787,2,44
788,27,21
789,6,14
790,20,25
791,6,27
792,37,39
793,33,7
794,7,25
795,18,40
796,19,11
797,41,37
798,15,8
799,34,26
800,42,31
801,17,3
802,45,7
803,43,21
804,41,24
805,30,21
806,45,10
807,15,26
808,29,6
809,31,2
810,31,22
811,29,39
812,43,18
813,25,27
814,38,36
815,11,39
816,5,8
817,41,42
818,43,21
819,26,41
820,42,2
821,41,4
822,13,37
823,39,21
824,5,43
825,12,24
826,24,13
827,20,19
828,39,15
829,8,24
830,45,19
831,36,44
832,23,42
833,3,43
834,36,6
835,41,43
836,7,34
837,19,4
838,21,4
839,38,10
840,24,13
841,7,5
842,16,40
843,30,3
844,9,22
845,38,4
846,18,43
847,3,15
848,43,33
849,31,34
850,12,19
851,44,29
852,29,6
853,31,42
854,37,27
855,1,5
856,12,23
857,33,33
858,17,39
859,21,23
860,35,29
861,38,11
862,9,21
863,39,36
864,42,45
865,28,3
866,11,26
867,41,1
868,34,33
869,31,3
870,25,14
871,14,33
872,36,22
873,43,37
874,43,16
875,40,12
876,25,18
877,37,41
878,18,9
879,13,7
